"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000204219",36.7589724487216,-1.55408563283527,0.31174560479389,-4.98510839908313,6.19270840489437e-07,2.02677949879795e-06,"TCEA3","6920","transcription elongation factor A3"
"ENSG00000170345",53.0031250595075,1.29902780288005,0.260623151358618,4.98431469387224,6.2181805922729e-07,2.03466481389209e-06,"FOS","2353","Fos proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000143320",90.5681711105335,-0.968313020779172,0.194286441906627,-4.98394541212781,6.23006625486965e-07,2.03810194067288e-06,"CRABP2","1382","cellular retinoic acid binding protein 2"
"ENSG00000159692",1450.46986988423,0.278061890986644,0.0557954162562935,4.98359739282848,6.24128760673171e-07,2.04132026933539e-06,"CTBP1","1487","C-terminal binding protein 1"
"ENSG00000168014",559.999226199657,0.401208346366651,0.0805541160325912,4.9806064063111,6.33853389168329e-07,2.07266686697463e-06,"C2CD3","26005","C2 calcium dependent domain containing 3"
"ENSG00000107362",234.142781267,0.604168098539889,0.121324455475129,4.97977177127114,6.36593004412131e-07,2.08116401220842e-06,"ABHD17B","51104","abhydrolase domain containing 17B"
"ENSG00000103043",758.660476351011,0.377594614088298,0.075835726591034,4.97911249831607,6.38765073076453e-07,2.08780236778245e-06,"VAC14","55697","Vac14, PIKFYVE complex component"
"ENSG00000269858",194.1336966658,0.668668891123338,0.134300584874547,4.97889783389966,6.39473855770927e-07,2.08965609480493e-06,"EGLN2","112398","egl-9 family hypoxia inducible factor 2"
"ENSG00000185900",91.3768566254294,0.951728725493045,0.191164795644215,4.97857736978071,6.40533380343293e-07,2.09223090747559e-06,"POMK","84197","protein-O-mannose kinase"
"ENSG00000123728",979.245260747167,0.323016168420187,0.0648812663433409,4.97857373360808,6.40545412028416e-07,2.09223090747559e-06,"RAP2C","57826","RAP2C, member of RAS oncogene family"
"ENSG00000164182",309.539070010227,-0.529083169555288,0.106273907733978,-4.97848607279667,6.40835537696032e-07,2.09271525523844e-06,"NDUFAF2","91942","NADH:ubiquinone oxidoreductase complex assembly factor 2"
"ENSG00000131737",19.4865317167288,-2.32579864908907,0.467534699258977,-4.97460114249352,6.53821202674201e-07,2.13464882147713e-06,"KRT34","3885","keratin 34"
"ENSG00000144306",194.527495980212,-0.655454525577039,0.131820559458043,-4.97232395516924,6.61550365255304e-07,2.15940577189751e-06,"SCRN3","79634","secernin 3"
"ENSG00000143575",899.074005901073,-0.333747079199637,0.0671244242069788,-4.97206617624794,6.6243083864766e-07,2.16180150263384e-06,"HAX1","10456","HCLS1 associated protein X-1"
"ENSG00000270885",209.532968275714,-0.628034157936188,0.126396143309952,-4.96877627346672,6.7376752825641e-07,2.1983118336787e-06,"RASL10B","91608","RAS like family 10 member B"
"ENSG00000167747",329.539445890669,-0.525410005060598,0.105758790541044,-4.96800315484593,6.76458625027864e-07,2.20660414628811e-06,"C19orf48","84798","chromosome 19 open reading frame 48"
"ENSG00000102780",313.525791312577,0.53307119724386,0.107327615185492,4.96676644051545,6.80784969615242e-07,2.22022578286987e-06,"DGKH","160851","diacylglycerol kinase eta"
"ENSG00000125812",301.600017854057,-0.551439474840586,0.111039901391097,-4.96613800924,6.82993587967133e-07,2.22693644129659e-06,"GZF1","64412","GDNF inducible zinc finger protein 1"
"ENSG00000153201",3212.68722535137,0.260913374934941,0.0525599654163835,4.96410857328326,6.90173280189577e-07,2.24984900042356e-06,"RANBP2","5903","RAN binding protein 2"
"ENSG00000130021",510.430238044765,-0.424772654350751,0.0855735966494929,-4.96382845856775,6.91169957230461e-07,2.25260029798503e-06,"PUDP","8226","pseudouridine 5'-phosphatase"
"ENSG00000196422",326.696439605914,0.531253089551355,0.107029218429787,4.96362673058166,6.91888585069985e-07,2.25444438695286e-06,"PPP1R26","9858","protein phosphatase 1 regulatory subunit 26"
"ENSG00000107263",1891.19488399044,0.264804999659428,0.0533543675119276,4.96313632806593,6.93638579447224e-07,2.25964751626504e-06,"RAPGEF1","2889","Rap guanine nucleotide exchange factor 1"
"ENSG00000196411",1283.25346009259,0.301500095088805,0.0607500429198801,4.96296102187841,6.94265191271281e-07,2.2611895434915e-06,"EPHB4","2050","EPH receptor B4"
"ENSG00000142252",126.556793465267,-0.807645130293226,0.16281031667866,-4.96065081604923,7.02573882418582e-07,2.28774554429569e-06,"GEMIN7","79760","gem nuclear organelle associated protein 7"
"ENSG00000135999",381.130750377422,0.481920172446944,0.0971708668575323,4.959512949015,7.06701373867805e-07,2.3006778618812e-06,"EPC2","26122","enhancer of polycomb homolog 2"
"ENSG00000160293",960.436137248143,0.336298816641646,0.067814229822516,4.95911872068458,7.08136837038992e-07,2.30484246496212e-06,"VAV2","7410","vav guanine nucleotide exchange factor 2"
"ENSG00000178607",262.177758237457,0.598994671530954,0.120818269758437,4.95781534306508,7.129027174471e-07,2.31984267605084e-06,"ERN1","2081","endoplasmic reticulum to nucleus signaling 1"
"ENSG00000196950",682.85876399599,-0.388644804969821,0.0784091024107696,-4.95662866963824,7.17268727372009e-07,2.33350598437405e-06,"SLC39A10","57181","solute carrier family 39 member 10"
"ENSG00000099194",4267.43648174311,-0.249256851120747,0.0502879880569233,-4.95658825798721,7.17417862621709e-07,2.33350598437405e-06,"SCD","6319","stearoyl-CoA desaturase"
"ENSG00000136490",173.361793677627,-0.70636590848062,0.142520214051215,-4.95625068473996,7.1866481136997e-07,2.33704664468868e-06,"LIMD2","80774","LIM domain containing 2"
"ENSG00000181938",38.8075513873124,-1.49313891946606,0.301314013978078,-4.95542474029996,7.21724546602648e-07,2.34647949770284e-06,"GINS3","64785","GINS complex subunit 3"
"ENSG00000173692",3091.74435181287,-0.224513242677496,0.0453108556751752,-4.95495481892879,7.23470981751267e-07,2.35163931807847e-06,"PSMD1","5707","proteasome 26S subunit, non-ATPase 1"
"ENSG00000138617",59.5593504447334,-1.17345269097888,0.236851729067308,-4.9543767132281,7.25625063548548e-07,2.35812162722363e-06,"PARP16","54956","poly(ADP-ribose) polymerase family member 16"
"ENSG00000122406",8604.47451376921,-0.186809260029893,0.0377187713893795,-4.95268676970992,7.31957460035822e-07,2.37817669354074e-06,"RPL5","6125","ribosomal protein L5"
"ENSG00000179958",239.387286545347,-0.59605575455818,0.120383106506787,-4.95132391790019,7.3710295715481e-07,2.3943674658437e-06,"DCTPP1","79077","dCTP pyrophosphatase 1"
"ENSG00000055208",1272.57490742139,-0.306404989121366,0.0619030091872435,-4.94975919820886,7.43053589208492e-07,2.41316589372267e-06,"TAB2","23118","TGF-beta activated kinase 1 (MAP3K7) binding protein 2"
"ENSG00000095319",1765.52377600627,-0.264777916051756,0.053496159361239,-4.94947523734952,7.44138442880601e-07,2.41615725930026e-06,"NUP188","23511","nucleoporin 188"
"ENSG00000119599",171.822316020758,-0.683554838591035,0.138188179405611,-4.94655072185775,7.55400509855018e-07,2.45218462539075e-06,"DCAF4","26094","DDB1 and CUL4 associated factor 4"
"ENSG00000143387",187.484587594856,0.673646043529146,0.136192380923485,4.94628289013914,7.56440075788911e-07,2.4550191109084e-06,"CTSK","1513","cathepsin K"
"ENSG00000142173",50892.7171467201,0.183582002344968,0.0371182385859459,4.94587052992536,7.58043311576862e-07,2.45968133252805e-06,"COL6A2","1292","collagen type VI alpha 2 chain"
"ENSG00000122359",3305.8770858394,-0.217197649974515,0.0439358025530694,-4.9435229893016,7.67232979533489e-07,2.48895237028081e-06,"ANXA11","311","annexin A11"
"ENSG00000132196",82.2109200610573,1.00599703572022,0.203807861687103,4.93600701853533,7.9738238881041e-07,2.58619031974253e-06,"HSD17B7","51478","hydroxysteroid 17-beta dehydrogenase 7"
"ENSG00000171867",2983.66883497708,-0.25421998814481,0.0515038989793764,-4.93593675784831,7.9766954388365e-07,2.58655306603503e-06,"PRNP","5621","prion protein"
"ENSG00000164932",2413.9662460453,-0.330732171413703,0.0670183616165957,-4.93494862356951,8.01718609725773e-07,2.59911148492508e-06,"CTHRC1","115908","collagen triple helix repeat containing 1"
"ENSG00000050820",3362.59557827244,0.243725943137936,0.0494041277714491,4.93331132705042,8.08471353612313e-07,2.62042758154571e-06,"BCAR1","9564","BCAR1, Cas family scaffold protein"
"ENSG00000163875",788.580108469401,0.357928270289648,0.0725831622688014,4.93128515073664,8.16903831490766e-07,2.64717749391934e-06,"MEAF6","64769","MYST/Esa1 associated factor 6"
"ENSG00000166908",545.578874995492,0.410916779965269,0.0833533431644386,4.92981762176734,8.23064176746253e-07,2.66655442769306e-06,"PIP4K2C","79837","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma"
"ENSG00000126970",178.625376234669,0.688142558593045,0.139675991966926,4.92670607813541,8.36274057830745e-07,2.70875684944782e-06,"ZC4H2","55906","zinc finger C4H2-type containing"
"ENSG00000145781",237.706750323886,-0.588848856667345,0.119540251430047,-4.92594627853805,8.39530627488613e-07,2.71870826996642e-06,"COMMD10","51397","COMM domain containing 10"
"ENSG00000006327",3419.0232318792,0.258960227847412,0.0525728465271085,4.92574104226756,8.40412381587089e-07,2.72096648627077e-06,"TNFRSF12A","51330","TNF receptor superfamily member 12A"
"ENSG00000105662",300.722528575221,0.561668809664506,0.114048237152212,4.92483552301544,8.44313412776835e-07,2.7329969486857e-06,"CRTC1","23373","CREB regulated transcription coactivator 1"
"ENSG00000013583",536.275150359702,-0.422988227082218,0.0859139621088454,-4.92339331931089,8.50562541800542e-07,2.75262113220557e-06,"HEBP1","50865","heme binding protein 1"
"ENSG00000123562",4813.32586551667,-0.214721845475469,0.0436157616925995,-4.92303326005888,8.52129628218962e-07,2.75708783656635e-06,"MORF4L2","9643","mortality factor 4 like 2"
"ENSG00000134864",29.4219448777814,-1.7940782835596,0.364525719360171,-4.92167819244313,8.58052251003528e-07,2.77564194503531e-06,"GGACT","87769","gamma-glutamylamine cyclotransferase"
"ENSG00000164654",236.920738643629,-0.613331152032469,0.124622353485562,-4.921517969114,8.58755157618305e-07,2.77730679427893e-06,"MIOS","54468","meiosis regulator for oocyte development"
"ENSG00000115760",2394.18369079976,-0.302217453523818,0.0614176042456129,-4.92069753022653,8.62363156388227e-07,2.78836423610605e-06,"BIRC6","57448","baculoviral IAP repeat containing 6"
"ENSG00000132170",319.686770657336,-0.523211029609798,0.106350424580975,-4.91968914718743,8.66817666272242e-07,2.80215334096859e-06,"PPARG","5468","peroxisome proliferator activated receptor gamma"
"ENSG00000106829",1007.92369685209,0.32560587057399,0.0662119725728072,4.91762830681342,8.75990399661902e-07,2.83118562028734e-06,"TLE4","7091","transducin like enhancer of split 4"
"ENSG00000129083",4780.7094775587,0.208684028031918,0.0424535633171325,4.91558332743536,8.85184891284178e-07,2.86027548970801e-06,"COPB1","1315","coatomer protein complex subunit beta 1"
"ENSG00000032444",2216.1013242691,0.265670609294922,0.0540676090946895,4.9136740784977,8.938529513768e-07,2.88765194758338e-06,"PNPLA6","10908","patatin like phospholipase domain containing 6"
"ENSG00000171792",263.151844036067,-0.556715626047885,0.113409552964488,-4.90889533990324,9.15908386817898e-07,2.95825576600509e-06,"RHNO1","83695","RAD9-HUS1-RAD1 interacting nuclear orphan 1"
"ENSG00000168397",826.599650228576,0.335063616940489,0.0682606950330016,4.90858783050037,9.17345444443217e-07,2.96224878251592e-06,"ATG4B","23192","autophagy related 4B cysteine peptidase"
"ENSG00000146826",380.385409417325,0.498396234822795,0.101543635532233,4.90819766507758,9.19171896283549e-07,2.96749718988348e-06,"C7orf43","55262","chromosome 7 open reading frame 43"
"ENSG00000180879",1590.89935528644,0.303127883714866,0.0617633949275058,4.90788895381576,9.20619523576709e-07,2.97152055367551e-06,"SSR4","6748","signal sequence receptor subunit 4"
"ENSG00000118503",196.980128698568,-0.659977504108003,0.13447870397014,-4.90767299671884,9.21633507127748e-07,2.97414277431382e-06,"TNFAIP3","7128","TNF alpha induced protein 3"
"ENSG00000213638",48.9027235191572,1.34338518282541,0.273788038820866,4.90666133046213,9.26397919150482e-07,2.98886396220123e-06,"ADAT3","113179","adenosine deaminase, tRNA specific 3"
"ENSG00000198453",161.77339595034,0.706158113331701,0.143966551142595,4.90501514224837,9.3420132160858e-07,3.01338135089921e-06,"ZNF568","374900","zinc finger protein 568"
"ENSG00000136531",106.067268871506,0.882877894743959,0.180048510402896,4.90355567379223,9.41172511092402e-07,3.0352042029852e-06,"SCN2A","6326","sodium voltage-gated channel alpha subunit 2"
"ENSG00000180263",263.489060726864,0.591332969335027,0.120595958805793,4.90342276134897,9.41809853191677e-07,3.03659584221809e-06,"FGD6","55785","FYVE, RhoGEF and PH domain containing 6"
"ENSG00000144893",18.9907813205522,2.3457455061807,0.478470800160319,4.90258863319291,9.45819163427161e-07,3.04885644247418e-06,"MED12L","116931","mediator complex subunit 12 like"
"ENSG00000160818",419.662816386748,-0.451213482372023,0.0920831419664664,-4.90006610044149,9.58044172627801e-07,3.08758927980572e-06,"GPATCH4","54865","G-patch domain containing 4"
"ENSG00000163754",1242.19996859704,-0.307020571273277,0.06266014408393,-4.89977442219155,9.5946751236143e-07,3.0915011306793e-06,"GYG1","2992","glycogenin 1"
"ENSG00000152061",334.812333743848,-0.509959877420039,0.104092792804608,-4.89908920377686,9.62819273673074e-07,3.10162348553985e-06,"RABGAP1L","9910","RAB GTPase activating protein 1 like"
"ENSG00000148429",284.986842447117,-0.53509290169989,0.109304378375299,-4.8954388621345,9.80865836207812e-07,3.15906888177473e-06,"USP6NL","9712","USP6 N-terminal like"
"ENSG00000079999",1025.7931741404,0.310410184690191,0.063412849589133,4.89506758805845,9.82719478534346e-07,3.16434814192399e-06,"KEAP1","9817","kelch like ECH associated protein 1"
"ENSG00000241973",1806.12511093523,0.274729882991553,0.0561368024683236,4.89393536702727,9.8839310948789e-07,3.18192274435617e-06,"PI4KA","5297","phosphatidylinositol 4-kinase alpha"
"ENSG00000116704",574.434987783851,-0.39075676142317,0.0798503295218233,-4.89361488879486,9.90004763324953e-07,3.18641585473306e-06,"SLC35D1","23169","solute carrier family 35 member D1"
"ENSG00000122778",420.925687571598,-0.48681080866494,0.0994809831692187,-4.89350620748156,9.9055188524493e-07,3.18748146453734e-06,"KIAA1549","57670","KIAA1549"
"ENSG00000167562",95.4346950082192,0.926047874715114,0.189284807180606,4.8923518401111,9.96381178257266e-07,3.20554031923413e-06,"ZNF701","55762","zinc finger protein 701"
"ENSG00000160688",469.622370069939,0.469104363433133,0.0959033235069115,4.89142968438759,1.00106156727882e-06,3.21989587173134e-06,"FLAD1","80308","flavin adenine dinucleotide synthetase 1"
"ENSG00000052795",332.66389114561,-0.49927843389095,0.102094433172388,-4.89035903698992,1.00652217444632e-06,3.23675417649977e-06,"FNIP2","57600","folliculin interacting protein 2"
"ENSG00000049759",197.164750362415,-0.667484290030035,0.136492672728638,-4.89025730602452,1.00704252043002e-06,3.23772180135639e-06,"NEDD4L","23327","neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"
"ENSG00000175573",818.230916967066,-0.363668281088739,0.0743733083204535,-4.88976877997408,1.00954490266289e-06,3.24506002045496e-06,"C11orf68","83638","chromosome 11 open reading frame 68"
"ENSG00000130787",272.283490540587,-0.561260576928484,0.114784618924094,-4.88968454301044,1.0099769951358e-06,3.24574179617373e-06,"HIP1R","9026","huntingtin interacting protein 1 related"
"ENSG00000177839",22.155099279807,2.12113753324134,0.433829655523902,4.88933272825668,1.01178354968074e-06,3.2508393928549e-06,"PCDHB9","56127","protocadherin beta 9"
"ENSG00000165660",350.650094550538,-0.484243535474987,0.0990753687200387,-4.8876278910789,1.02058196579711e-06,3.27839458379503e-06,"ABRAXAS2","23172","abraxas 2, BRISC complex subunit"
"ENSG00000171045",54.5185512113512,1.2230593592565,0.250442457983456,4.88359429588931,1.04169298022411e-06,3.34548067701928e-06,"TSNARE1","203062","t-SNARE domain containing 1"
"ENSG00000090924",1338.23936431568,0.286477487990252,0.0586786564987998,4.88214122619034,1.0494005334111e-06,3.36950064634327e-06,"PLEKHG2","64857","pleckstrin homology and RhoGEF domain containing G2"
"ENSG00000105197",898.995883583069,-0.332264834140272,0.0680587404438895,-4.88203031635893,1.04999108442301e-06,3.3706632853736e-06,"TIMM50","92609","translocase of inner mitochondrial membrane 50"
"ENSG00000023171",130.300420409354,-0.794967378438088,0.162844857365177,-4.88174690500287,1.05150159118192e-06,3.37477800224017e-06,"GRAMD1B","57476","GRAM domain containing 1B"
"ENSG00000103404",137.414065781104,-0.761990578449065,0.156100670012941,-4.8814049189276,1.05332707008654e-06,3.37990160766787e-06,"USP31","57478","ubiquitin specific peptidase 31"
"ENSG00000120696",192.572089065798,0.686307283297938,0.14061184622725,4.88086389384834,1.05622122539688e-06,3.38845139367376e-06,"KBTBD7","84078","kelch repeat and BTB domain containing 7"
"ENSG00000004766",262.859516467623,-0.600768170060521,0.123090496563936,-4.8807031154389,1.05708276626951e-06,3.39047807250877e-06,"VPS50","55610","VPS50, EARP/GARPII complex subunit"
"ENSG00000047230",297.135771424475,-0.544138264116013,0.111501566155123,-4.88009525676972,1.0603461302941e-06,3.400205782734e-06,"CTPS2","56474","CTP synthase 2"
"ENSG00000123552",233.479840326734,0.600868519794494,0.123174997747524,4.87816952127016,1.07074881863371e-06,3.43281792049582e-06,"USP45","85015","ubiquitin specific peptidase 45"
"ENSG00000174130",77.8059727461856,-1.01665776608157,0.208419283589863,-4.87794482626758,1.07196898475875e-06,3.43598314167512e-06,"TLR6","10333","toll like receptor 6"
"ENSG00000177679",105.180315875559,0.907007710451088,0.185946515789087,4.87778814570464,1.07282060236132e-06,3.43796593554277e-06,"SRRM3","222183","serine/arginine repetitive matrix 3"
"ENSG00000181004",89.8392665373865,0.95700902906211,0.196199554367283,4.8777329395489,1.07312082361549e-06,3.4381812446521e-06,"BBS12","166379","Bardet-Biedl syndrome 12"
"ENSG00000100461",723.750917907909,0.357710497705079,0.0733666754355825,4.87565363404201,1.08448752954398e-06,3.47384477005903e-06,"RBM23","55147","RNA binding motif protein 23"
"ENSG00000119977",833.630501763358,-0.338960596269906,0.0695226520454887,-4.87554180252105,1.08510213843965e-06,3.47505902985428e-06,"TCTN3","26123","tectonic family member 3"
"ENSG00000250479",65.4419195037447,-1.14128160899571,0.234100192627585,-4.87518440794835,1.08706857246034e-06,3.48060106729163e-06,"CHCHD10","400916","coiled-coil-helix-coiled-coil-helix domain containing 10"
"ENSG00000132612",842.228402579463,-0.329833004222154,0.067658826746334,-4.8749441881214,1.08839222167107e-06,3.48408306325341e-06,"VPS4A","27183","vacuolar protein sorting 4 homolog A"
"ENSG00000075240",223.814623543526,0.608474273131316,0.124849046487077,4.87367977771698,1.09538493041386e-06,3.5057069985523e-06,"GRAMD4","23151","GRAM domain containing 4"
"ENSG00000110848",14.3990270131008,5.32288134922169,1.09228443240822,4.8731641606262,1.09824889748471e-06,3.5141106557123e-06,"CD69","969","CD69 molecule"
"ENSG00000146410",31.1484108175171,-1.72673940530004,0.354349544695071,-4.87298327640285,1.09925531539275e-06,3.51656828345722e-06,"MTFR2","113115","mitochondrial fission regulator 2"
"ENSG00000124635",58.0660604494671,1.18291400272788,0.242855085964853,4.87086361822817,1.11111517149708e-06,3.55373796667416e-06,"HIST1H2BJ","8970","histone cluster 1 H2B family member j"
"ENSG00000138660",241.046747749416,0.591508699482756,0.121440624451603,4.87076464036534,1.11167196825754e-06,3.55474820539049e-06,"AP1AR","55435","adaptor related protein complex 1 associated regulatory protein"
"ENSG00000198642",1337.08036956832,0.288247587204374,0.0592308810467102,4.8665085190453,1.13587029592202e-06,3.63133918657281e-06,"KLHL9","55958","kelch like family member 9"
"ENSG00000061794",701.429077882975,-0.387969553570727,0.079723887543702,-4.86641539347984,1.13640538967802e-06,3.63226280747606e-06,"MRPS35","60488","mitochondrial ribosomal protein S35"
"ENSG00000109919",1560.37280310314,-0.268391725355792,0.0551603745076569,-4.86566176809651,1.14074460761756e-06,3.64534241732498e-06,"MTCH2","23788","mitochondrial carrier 2"
"ENSG00000070778",819.211362378992,-0.340589591277575,0.0700004861648622,-4.86553179752828,1.14149456113016e-06,3.64694905909797e-06,"PTPN21","11099","protein tyrosine phosphatase, non-receptor type 21"
"ENSG00000152270",60.7307121839172,1.16863188825103,0.24019014793971,4.86544472483677,1.14199725154692e-06,3.64776519794832e-06,"PDE3B","5140","phosphodiesterase 3B"
"ENSG00000101844",300.446198942524,0.534524468201122,0.10988418595362,4.86443489172076,1.14784283017204e-06,3.66564353167929e-06,"ATG4A","115201","autophagy related 4A cysteine peptidase"
"ENSG00000155256",480.035013961847,0.426109202710827,0.0876006671097479,4.86422326187298,1.14907152689468e-06,3.66877327587191e-06,"ZFYVE27","118813","zinc finger FYVE-type containing 27"
"ENSG00000198924",90.4942335884302,-0.933233888941585,0.191884197405284,-4.86352655174867,1.15312548722945e-06,3.68092025932135e-06,"DCLRE1A","9937","DNA cross-link repair 1A"
"ENSG00000119414",1051.59942045488,0.31988130398043,0.0657795450963287,4.86292970728195,1.1566092985355e-06,3.69124239467722e-06,"PPP6C","5537","protein phosphatase 6 catalytic subunit"
"ENSG00000164306",69.5291712802924,-1.0655598580487,0.219131638081811,-4.86264725338694,1.15826152447527e-06,3.69571594552512e-06,"PRIMPOL","201973","primase and DNA directed polymerase"
"ENSG00000070610",945.15982769719,0.32771357388026,0.0673974292287143,4.86240465891004,1.15968240373181e-06,3.6994495534398e-06,"GBA2","57704","glucosylceramidase beta 2"
"ENSG00000138642",39.1099482349515,1.46563064568581,0.301460900898367,4.86176031889431,1.1634644598753e-06,3.71071220082147e-06,"HERC6","55008","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"ENSG00000146802",436.462556306188,0.448393698351791,0.0922317291590862,4.86159917460051,1.16441217546672e-06,3.71293218863973e-06,"TMEM168","64418","transmembrane protein 168"
"ENSG00000167654",18.2323327323599,2.36711148175206,0.487187485912618,4.85872800553958,1.18142302246543e-06,3.76636025787705e-06,"ATCAY","85300","ATCAY, caytaxin"
"ENSG00000135953",147.546403463509,0.74588879798681,0.153526335303595,4.85837688049955,1.18351967181175e-06,3.77222925856785e-06,"MFSD9","84804","major facilitator superfamily domain containing 9"
"ENSG00000204569",1309.12633877827,0.391748232948523,0.0806384442133476,4.85808272679546,1.1852788874138e-06,3.77702045462272e-06,"PPP1R10","5514","protein phosphatase 1 regulatory subunit 10"
"ENSG00000162434",4848.53235014694,0.198733709925028,0.0409102122850849,4.85780197228365,1.18696031423094e-06,3.7815617525725e-06,"JAK1","3716","Janus kinase 1"
"ENSG00000096717",471.203950665039,0.41957295812671,0.0863831386294352,4.85711638618025,1.19107591009974e-06,3.79385448566742e-06,"SIRT1","23411","sirtuin 1"
"ENSG00000198015",779.705809020581,0.363402404411123,0.0748282641833906,4.85648582627133,1.1948733000549e-06,3.80512857090653e-06,"MRPL42","28977","mitochondrial ribosomal protein L42"
"ENSG00000147383",478.290317718524,0.441315390113129,0.0908984982220966,4.85503499777128,1.20365483634709e-06,3.83226660670369e-06,"NSDHL","50814","NAD(P) dependent steroid dehydrogenase-like"
"ENSG00000156471",2362.67551887037,0.236856540557114,0.0487867528319339,4.85493554721841,1.20425905659546e-06,3.83336313290387e-06,"PTDSS1","9791","phosphatidylserine synthase 1"
"ENSG00000105989",21.5386085061283,-2.11536945963872,0.435962600674322,-4.85218102737891,1.22111082250198e-06,3.88534891097451e-06,"WNT2","7472","Wnt family member 2"
"ENSG00000107779",792.431922830376,-0.344681943047829,0.0710365121274854,-4.85217999483487,1.22111718179401e-06,3.88534891097451e-06,"BMPR1A","657","bone morphogenetic protein receptor type 1A"
"ENSG00000204536",140.634107619761,-0.738545323429364,0.152215778680666,-4.85196298196366,1.22245444049416e-06,3.88876516064053e-06,"CCHCR1","54535","coiled-coil alpha-helical rod protein 1"
"ENSG00000185745",36.2479074641539,-1.50116919248228,0.309408007545416,-4.85174641856008,1.22379033394012e-06,3.8921755953767e-06,"IFIT1","3434","interferon induced protein with tetratricopeptide repeats 1"
"ENSG00000114744",349.82741009221,-0.510771386237157,0.105319505427812,-4.84973210007378,1.23628333098949e-06,3.93046301836522e-06,"COMMD2","51122","COMM domain containing 2"
"ENSG00000096968",309.373667392497,0.535810627270122,0.11048280676863,4.84971954407532,1.23636158792416e-06,3.93046301836522e-06,"JAK2","3717","Janus kinase 2"
"ENSG00000162419",336.64645875774,0.511858497998601,0.105547045054399,4.84957677152202,1.23725177213954e-06,3.93244563682611e-06,"GMEB1","10691","glucocorticoid modulatory element binding protein 1"
"ENSG00000125753",2506.50497245048,-0.25665290995185,0.0529254371524121,-4.84932999632585,1.23879186499024e-06,3.93649260738015e-06,"VASP","7408","vasodilator stimulated phosphoprotein"
"ENSG00000172239",1206.32001665852,0.297960893485288,0.0614447431494738,4.8492495568002,1.23929427634244e-06,3.93724111825072e-06,"PAIP1","10605","poly(A) binding protein interacting protein 1"
"ENSG00000071462",788.106232272039,0.350394057795498,0.0723170902903378,4.8452455206472,1.26455201960442e-06,4.01662012857773e-06,"BUD23","114049","BUD23, rRNA methyltransferase and ribosome maturation factor"
"ENSG00000175931",684.815300133896,-0.37459443143657,0.0773383221548256,-4.84358104752595,1.27519670128936e-06,4.04955921885993e-06,"UBE2O","63893","ubiquitin conjugating enzyme E2 O"
"ENSG00000163001",535.542319368874,0.414883935258733,0.08567481970276,4.84254226268734,1.28188359015157e-06,4.06991833206288e-06,"CFAP36","112942","cilia and flagella associated protein 36"
"ENSG00000132481",66.1224731033568,-1.10986895864477,0.229276405837216,-4.84074649806211,1.29352295615749e-06,4.10598917709715e-06,"TRIM47","91107","tripartite motif containing 47"
"ENSG00000010072",258.835015785145,0.570168014998013,0.117805077728752,4.83992732733333,1.29886616490418e-06,4.12206310970021e-06,"SPRTN","83932","SprT-like N-terminal domain"
"ENSG00000173153",335.73356490365,-0.507682244923674,0.104962082891224,-4.83681564751153,1.31935687540545e-06,4.18619168596388e-06,"ESRRA","2101","estrogen related receptor alpha"
"ENSG00000112992",1309.29135343404,-0.294886476517341,0.0609915113788019,-4.83487734360082,1.33227757135721e-06,4.22627892664035e-06,"NNT","23530","nicotinamide nucleotide transhydrogenase"
"ENSG00000125734",696.403449379449,0.357111524913403,0.0738678735075945,4.83446331884303,1.33505318333054e-06,4.23417340216224e-06,"GPR108","56927","G protein-coupled receptor 108"
"ENSG00000146007",808.257514761419,-0.341195493319074,0.0705814926328058,-4.83406457687307,1.33773159680376e-06,4.24175628180585e-06,"ZMAT2","153527","zinc finger matrin-type 2"
"ENSG00000051523",1059.50387334999,0.341712263755304,0.0706906553373691,4.83390997189787,1.33877149287941e-06,4.2441415139542e-06,"CYBA","1535","cytochrome b-245 alpha chain"
"ENSG00000152778",292.633425653173,-0.546095388797248,0.113028951615657,-4.83146469104826,1.35532257254344e-06,4.29568834270805e-06,"IFIT5","24138","interferon induced protein with tetratricopeptide repeats 5"
"ENSG00000163516",245.664542614264,0.568299801699669,0.117628742012209,4.83130051361666,1.35644084245523e-06,4.29830931906883e-06,"ANKZF1","55139","ankyrin repeat and zinc finger domain containing 1"
"ENSG00000011198",452.961844116737,0.440029707196109,0.0911024685776391,4.83005251192626,1.36497047680084e-06,4.3238330767182e-06,"ABHD5","51099","abhydrolase domain containing 5"
"ENSG00000115020",1033.87987998248,0.343563240620853,0.0711305711753815,4.83003629724488,1.36508163693598e-06,4.3238330767182e-06,"PIKFYVE","200576","phosphoinositide kinase, FYVE-type zinc finger containing"
"ENSG00000205213",369.809149488779,0.492297463651751,0.101928907895081,4.8298120113137,1.36662012786754e-06,4.32777706944787e-06,"LGR4","55366","leucine rich repeat containing G protein-coupled receptor 4"
"ENSG00000205531",1891.48669712697,0.252120752777637,0.0522037853341166,4.82954925900497,1.36842460030063e-06,4.33256149202478e-06,"NAP1L4","4676","nucleosome assembly protein 1 like 4"
